;gaugeId;issue_date;issue_time;fc_date;fc_value
25;hybas_1120641660;2024-10-04;2024-10-04 14:01:46.539635+00:00;2024-10-04;3187.799560546875
26;hybas_1120641660;2024-10-04;2024-10-04 14:01:46.539635+00:00;2024-10-05;3184.103271484375
27;hybas_1120641660;2024-10-04;2024-10-04 14:01:46.539635+00:00;2024-10-06;3179.745361328125
28;hybas_1120641660;2024-10-04;2024-10-04 14:01:46.539635+00:00;2024-10-07;3095.24365234375
29;hybas_1120641660;2024-10-04;2024-10-04 14:01:46.539635+00:00;2024-10-08;2970.1650390625
30;hybas_1120641660;2024-10-04;2024-10-04 14:01:46.539635+00:00;2024-10-09;2969.701904296875
31;hybas_1120641660;2024-10-04;2024-10-04 14:01:46.539635+00:00;2024-10-10;3026.57958984375
32;hybas_1120641660;2024-10-05;2024-10-05 13:50:01.388590+00:00;2024-10-04;3173.6298828125
33;hybas_1120641660;2024-10-05;2024-10-05 13:50:01.388590+00:00;2024-10-05;3195.225341796875
34;hybas_1120641660;2024-10-05;2024-10-05 13:50:01.388590+00:00;2024-10-06;3171.063232421875
35;hybas_1120641660;2024-10-05;2024-10-05 13:50:01.388590+00:00;2024-10-07;3087.513671875
36;hybas_1120641660;2024-10-05;2024-10-05 13:50:01.388590+00:00;2024-10-08;2934.26416015625
37;hybas_1120641660;2024-10-05;2024-10-05 13:50:01.388590+00:00;2024-10-09;2964.138916015625
38;hybas_1120641660;2024-10-05;2024-10-05 13:50:01.388590+00:00;2024-10-10;3051.114990234375
39;hybas_1120641660;2024-10-05;2024-10-05 13:50:01.388590+00:00;2024-10-11;3071.933349609375
40;hybas_1120641660;2024-10-06;2024-10-06 13:37:09.453214+00:00;2024-10-05;3169.582275390625
41;hybas_1120641660;2024-10-06;2024-10-06 13:37:09.453214+00:00;2024-10-06;3143.439453125
42;hybas_1120641660;2024-10-06;2024-10-06 13:37:09.453214+00:00;2024-10-07;3056.822509765625
43;hybas_1120641660;2024-10-06;2024-10-06 13:37:09.453214+00:00;2024-10-08;2956.05615234375
44;hybas_1120641660;2024-10-06;2024-10-06 13:37:09.453214+00:00;2024-10-09;2965.861572265625
45;hybas_1120641660;2024-10-06;2024-10-06 13:37:09.453214+00:00;2024-10-10;2993.049072265625
46;hybas_1120641660;2024-10-06;2024-10-06 13:37:09.453214+00:00;2024-10-11;3005.71875
47;hybas_1120641660;2024-10-06;2024-10-06 13:37:09.453214+00:00;2024-10-12;3042.622802734375
48;hybas_1120641660;2024-10-06;2024-10-06 23:40:44.148195+00:00;2024-10-06;3025.266845703125
49;hybas_1120641660;2024-10-06;2024-10-06 23:40:44.148195+00:00;2024-10-07;2946.257080078125
50;hybas_1120641660;2024-10-06;2024-10-06 23:40:44.148195+00:00;2024-10-08;2867.303955078125
51;hybas_1120641660;2024-10-06;2024-10-06 23:40:44.148195+00:00;2024-10-09;2876.98583984375
52;hybas_1120641660;2024-10-06;2024-10-06 23:40:44.148195+00:00;2024-10-10;2903.896240234375
53;hybas_1120641660;2024-10-06;2024-10-06 23:40:44.148195+00:00;2024-10-11;2928.067626953125
54;hybas_1120641660;2024-10-06;2024-10-06 23:40:44.148195+00:00;2024-10-12;2967.680908203125
55;hybas_1120641660;2024-10-06;2024-10-06 23:40:44.148195+00:00;2024-10-13;2983.48388671875
56;hybas_1121905290;2024-10-01;2024-10-01 13:38:49.361543+00:00;2024-09-30;4666.7822265625
57;hybas_1121905290;2024-10-01;2024-10-01 13:38:49.361543+00:00;2024-10-01;4602.44482421875
58;hybas_1121905290;2024-10-01;2024-10-01 13:38:49.361543+00:00;2024-10-02;4653.33984375
59;hybas_1121905290;2024-10-01;2024-10-01 13:38:49.361543+00:00;2024-10-03;4596.43017578125
60;hybas_1121905290;2024-10-01;2024-10-01 13:38:49.361543+00:00;2024-10-04;4527.81396484375
